Date,Rain (mm),Temperature,Humidity(%)
2024-01-01,0,29.2,92.2
2024-01-02,0,32.2,92.6
2024-01-03,0,33.1,92.7
2024-01-04,0,33,92.8
2024-01-05,0,32.2,88.8
2024-01-06,0,30.7,90.1
2024-01-07,0.2,32.4,91.9
2024-01-08,0,29.8,93.6
2024-01-09,0.8,28.7,95.7
2024-01-10,1,31.3,95.5
2024-01-11,0,31.8,94.8
2024-01-12,0,31.3,90.4
2024-01-13,0,33,91.6
2024-01-14,0,31.6,92.6
2024-01-15,0,32.9,92.1
2024-01-16,0,31.8,88.8
2024-01-17,0,32.9,90.8
2024-01-18,0,32.1,87.3
2024-01-19,0,31.8,88.9
2024-01-20,0,31.4,94.6
2024-01-21,0,33.2,90.1
2024-01-22,0,33,93
2024-01-23,0,32.8,93.5
2024-01-24,0,32.7,91.5
2024-01-25,0,32.1,94.3
2024-01-26,0,34.2,95.3
2024-01-27,0,33.8,93.2
2024-01-28,0,33.9,91.6
2024-01-29,2.4,32.7,92.5
2024-01-30,0,32,92.2
2024-01-31,0,31.9,93.1
2024-02-01,0.2,33.2,91.6
2024-02-02,0,31.5,92.9
2024-02-03,0,33,93.3
2024-02-04,0,33,92.2
2024-02-05,0,31.9,93
2024-02-06,0,32.4,86.1
2024-02-07,0,32.9,88.6
2024-02-08,0,32.4,92.8
2024-02-09,0,33.3,90.5
2024-02-10,0,34.2,87.8
2024-02-11,0,33.3,90.5
2024-02-12,0,32.3,91.9
2024-02-13,0,34,91.1
2024-02-14,0,32.3,91.5
2024-02-15,0,33.8,89.7
2024-02-16,0,33,91.3
2024-02-17,0,35.1,91.9
2024-02-18,0,33.5,93.2
2024-02-19,0,34.3,91.1
2024-02-20,0,32.4,91
2024-02-21,0,32.8,88.1
2024-02-22,0,32.8,91.3
2024-02-23,0,33.7,89.4
2024-02-24,0,34.5,87.2
2024-02-25,0.2,33.9,90.3
2024-02-26,0,35.1,90.3
2024-02-27,0,33.8,87.2
2024-02-28,0,35.1,84.9
2024-02-29,0,34.1,86.8
2024-03-01,0,31.7,84.3
2024-03-02,0,34.2,91.2
2024-03-03,0,33.9,87.5
2024-03-04,0,33.5,88.9
2024-03-05,0,33,90.8
2024-03-06,0,33.7,91.6
2024-03-07,0,33.5,91
2024-03-08,0.6,34.4,93.6
2024-03-09,0,33.3,93.9
2024-03-10,0,33.1,93.6
2024-03-11,0,33.3,91.9
2024-03-12,0,33.2,89.2
2024-03-13,0,33.4,89.6
2024-03-14,0,33.9,88.4
2024-03-15,0,33.7,84.6
2024-03-16,0,34.7,90.6
2024-03-17,0,34,89.5
2024-03-18,0,34.3,88.9
2024-03-19,0,33.9,87.3
2024-03-20,0,33.1,85.3
2024-03-21,0,35.3,88.7
2024-03-22,2.2,33.6,89.5
2024-03-23,2.8,33.3,94.5
2024-03-24,0,34.3,93.9
2024-03-25,0,32.9,91.5
2024-03-26,0,33.5,88.1
2024-03-27,0,35.5,90.1
2024-03-28,0.6,34.4,89.3
2024-03-29,0,33.7,86.2
2024-03-30,0,34.8,91
2024-03-31,0,35,83.3
2024-04-01,4.2,33.5,91.1
2024-04-02,4,33.5,93.5
2024-04-03,0,32.7,94.8
2024-04-04,1,33.3,94.7
2024-04-05,0,33.4,94.1
2024-04-06,0,35.3,89.6
2024-04-07,0,34,91.5
2024-04-08,1.2,34.8,91.9
2024-04-09,0,35.5,92.9
2024-04-10,0,36.2,89.3
2024-04-11,4,35,91.2
2024-04-12,4.6,31.1,94.8
2024-04-13,2.4,33.6,95.2
2024-04-14,0,33.4,93.5
2024-04-15,0,33.2,92.8
2024-04-16,9.6,32.3,92.3
2024-04-17,0,33.4,93.5
2024-04-18,0,33,93.3
2024-04-19,1.4,33.7,92
2024-04-20,0,33.5,93.5
2024-04-21,0,35.2,88.6
2024-04-22,0,,
2024-04-23,7,33.5,90.1
2024-04-24,14.4,33.9,94.3
2024-04-25,0,33.7,94.1
2024-04-26,0,34.9,90.3
2024-04-27,0,34.4,89.3
2024-04-28,0,35.6,90
2024-04-29,4,34.9,90.6
2024-04-30,0,34,92.9
2024-05-01,0,,
2024-05-02,0,34.3,87
2024-05-03,0,33.4,91.8
2024-05-04,0,33.6,87.9
2024-05-05,0,34.4,87.6
2024-05-06,0,34.4,83.4
2024-05-07,0,35,79.9
2024-05-08,0.4,36.1,86.3
2024-05-09,0.2,33.8,89.8
2024-05-10,3.8,34.4,91.5
2024-05-11,6.4,34.5,91.6
2024-05-12,0.4,33.9,92.9
2024-05-13,24.2,32.6,93.2
2024-05-14,10.6,32.2,96
2024-05-15,1,32.2,96.6
2024-05-16,23.6,32.1,96.9
2024-05-17,2.2,31,97.2
2024-05-18,9.6,30.9,97.9
2024-05-19,7.6,30.1,97.7
2024-05-20,6,27.8,96.8
2024-05-21,9,29.6,98.3
2024-05-22,11.2,28.8,98.6
2024-05-23,12.2,27.8,99.4
2024-05-24,10.2,28.6,99.6
2024-05-25,2.2,29.2,98.8
2024-05-26,5.6,28.1,97.7
2024-05-27,0.8,29.8,97.2
2024-05-28,19.4,28,98.5
2024-05-29,15.6,27.7,98.6
2024-05-30,0.6,27.7,98.6
2024-05-31,0,30.8,94.1
2024-06-01,0.2,32,94.6
2024-06-02,0,31.6,90.8
2024-06-03,0,30.6,93.2
2024-06-04,0,31.6,93.9
2024-06-05,0,31.9,94.4
2024-06-06,3.8,30.9,95.2
2024-06-07,6.8,30.3,96.8
2024-06-08,6.8,28.2,98.1
2024-06-09,2.4,30.6,96.9
2024-06-10,2.6,30.8,97.5
2024-06-11,2.8,31.2,94.4
2024-06-12,6,30,96.3
2024-06-13,0.8,30.8,96.5
2024-06-14,0,31.2,92.7
2024-06-15,0,31.5,93.4
2024-06-16,0,32.3,92.3
2024-06-17,0,32.7,93.7
2024-06-18,4.2,30.7,94.8
2024-06-19,9.8,29.6,96.6
2024-06-20,6.2,28.9,97.5
2024-06-21,1.2,29.8,97.3
2024-06-22,3.4,30.1,96
2024-06-23,1.6,28.9,95.4
2024-06-24,3.6,30,96.7
2024-06-25,12.6,28.1,97.5
2024-06-26,10.2,28,98.1
2024-06-27,0.2,28.5,98.3
2024-06-28,0,29.9,98.4
2024-06-29,0.2,30.1,96.9
2024-06-30,0,31.7,95.1
2024-07-01,0.2,28.7,95.6
2024-07-02,0.2,30.7,92.4
2024-07-03,0.2,30.7,95.4
2024-07-04,0,31.8,94.4
2024-07-05,0.8,31.1,95
2024-07-06,2,30.1,93.3
2024-07-07,0,31.5,94.3
2024-07-08,0.8,29.3,90.9
2024-07-09,0.6,30.4,93.4
2024-07-10,1.4,31,94.8
2024-07-11,0,31.9,91.1
2024-07-12,3.8,31.3,91.8
2024-07-13,16.8,27,95.5
2024-07-14,5.4,30.3,94.8
2024-07-15,12.4,28.1,97.3
2024-07-16,6,29.1,96.9
2024-07-17,5.4,27.5,96
2024-07-18,6.8,28.4,96.8
2024-07-19,0,29.2,94.5
2024-07-20,0.6,29.4,98
2024-07-21,0.2,30.7,96.3
2024-07-22,1.4,28,95.7
2024-07-23,0,30.3,92.3
2024-07-24,0,31.6,93.5
2024-07-25,5.8,30.6,93.1
2024-07-26,0,30.9,91.5
2024-07-27,0,31,92.8
2024-07-28,0,30.2,94.8
2024-07-29,0,27.9,96.3
2024-07-30,0.2,29,96.5
2024-07-31,1.4,30.1,95
2024-08-01,0.4,30.6,93.2
2024-08-02,0,30.8,92.8
2024-08-03,0,32.4,89.2
2024-08-04,0,32.9,89.8
2024-08-05,0,32.6,91.2
2024-08-06,0.2,30.6,92.9
2024-08-07,0,31.7,88.8
2024-08-08,0,32.2,90.9
2024-08-09,0,32.7,85.6
2024-08-10,0,31.8,88.1
2024-08-11,0,33.1,91.7
2024-08-12,0.6,32.9,89
2024-08-13,0.2,31.8,95
2024-08-14,0.4,29.5,95.6
2024-08-15,0.2,29.8,95.6
2024-08-16,0,29.9,96.1
2024-08-17,0.2,29.7,96.9
2024-08-18,0.2,30.8,96.1
2024-08-19,0,30.4,94.9
2024-08-20,0,31.5,94.5
2024-08-21,0.2,30.3,95.5
2024-08-22,0,30.3,94.8
2024-08-23,0.4,31,95.1
2024-08-24,0,30.8,94.2
2024-08-25,0,31.5,91.4
2024-08-26,0,31.1,94.2
2024-08-27,0,30.2,94.9
2024-08-28,0,30.1,94.5
2024-08-29,0,30.3,95.4
2024-08-30,0,26.5,95.3
2024-08-31,0.2,30.1,97.8
2024-09-01,0.2,27.9,95.4
2024-09-02,0,30.1,96.8
2024-09-03,0,29.1,95.8
2024-09-04,0,30.6,95.6
2024-09-05,0,31.1,94.7
2024-09-06,0,30.4,93.7
2024-09-07,0.2,31.4,93.4
2024-09-08,0,30.8,94.4
2024-09-09,0,29.9,95
2024-09-10,0,30.4,95.4
2024-09-11,0,26.4,95.9
2024-09-12,0,30.7,96.6
2024-09-13,0,31.2,94.7
2024-09-14,0,31.9,93.9
2024-09-15,0,31.5,90.9
2024-09-16,0,27.4,92.7
2024-09-17,0,32.3,90.5
2024-09-18,0,33.2,89
2024-09-19,0.4,27.1,87.9
2024-09-20,0,31.8,89.6
2024-09-21,0.2,31.9,88.3
2024-09-22,0,32,89.6
2024-09-23,0,26.8,93.1
2024-09-24,0,30.9,90.6
2024-09-25,0.2,30.6,93.6
2024-09-26,0,31.8,90.5
2024-09-27,0.4,32.9,90.8
2024-09-28,12.2,34.1,94.4
2024-09-29,3.2,33,95.6
2024-09-30,2.4,32,95.3
2024-10-01,4,30.9,95.3
2024-10-02,2.8,25.8,96.3
2024-10-03,10,25.4,97.3
2024-10-04,4.6,,
2024-10-05,0.6,25.2,96.2
2024-10-06,7.6,25.4,95.1
2024-10-07,12.8,28.6,94.6
2024-10-08,0,30.4,97.1
2024-10-09,0.8,,
2024-10-10,0.6,,
2024-10-11,7.6,,
2024-10-12,5.6,,
2024-10-13,0,,
2024-10-14,0,,
2024-10-15,0,27.8,93.4
2024-10-16,1.8,30.8,94.5
2024-10-17,0,31.2,94.1
2024-10-18,1.8,32.2,96.4
2024-10-19,2.6,31.3,95.1
2024-10-20,0,31.4,95.3
2024-10-21,11.6,31.5,95.6
2024-10-22,0.8,32.3,97.1
2024-10-23,12.6,31.7,95.7
2024-10-24,9.2,29.4,96.9
2024-10-25,11.6,25.9,99.1
2024-10-26,0.2,29.4,98.7
2024-10-27,0.6,30.6,96.6
2024-10-28,0,31.9,96.7
2024-10-29,0,31.2,95.2
2024-10-30,0,32.4,94.5
2024-10-31,1.2,32.3,95.4
2024-11-01,18.2,31.2,96.3
2024-11-02,14.6,30.6,97.4
2024-11-03,3.6,30.8,98.2
2024-11-04,24,30.4,98
2024-11-05,9.4,31.1,97.5
2024-11-06,1.2,31.1,97.5
2024-11-07,0,31.9,98.3
2024-11-08,15,,
2024-11-09,0,,
2024-11-10,0,,
2024-11-11,0,,
2024-11-12,0,29.9,94.1
2024-11-13,1.8,32.7,96.1
2024-11-14,4,31.4,96.9
2024-11-15,0.2,,
2024-11-16,1.8,30.4,98.6
2024-11-17,0.6,32.6,99.4
2024-11-18,0.2,32.6,96.7
2024-11-19,0.2,30.1,95.3
2024-11-20,3.2,26.8,97.9
2024-11-21,0,28.2,97.9
2024-11-22,0,30.6,98.1
2024-11-23,0,31.6,98.1
2024-11-25,0.2,31.4,96.6
2024-11-26,4.6,28.2,97.6
2024-11-27,0.2,27.2,98.8
2024-11-28,0,31.2,97.1
2024-11-29,0,30.7,97.8
2024-11-30,0,30.6,90.8
2024-12-01,0.2,29.5,96.5
2024-12-02,0.4,29,96.5
2024-12-03,0,31.1,97.7
2024-12-04,0,31.3,95.4
2024-12-05,0,30.5,95.7
2024-12-06,0,32.2,95.8
2024-12-07,0,33.4,94.5
2024-12-08,0,32.8,95.5
2024-12-09,4.4,32,95.9
2024-12-10,0.2,31.7,96
2024-12-11,0,31.7,94.8
2024-12-12,2,27.2,96.3
2024-12-13,1.6,29.5,97.2
2024-12-14,1,27.2,97.3
2024-12-15,0.2,32.3,96.2
2024-12-16,0,30.1,94.1
2024-12-17,0,30.6,95
2024-12-18,0,31.1,94.4
2024-12-19,0,32.8,92.3
2024-12-20,0,32.4,93.3
2024-12-21,0,32.1,92.6
2024-12-22,0,33.2,90.3
2024-12-23,0,32.5,92
2024-12-24,0,31.5,91
2024-12-25,0,31.5,90.4
2024-12-26,0,32.4,93.2
2024-12-27,0,31.5,94.8
2024-12-28,0,31.2,90.5
2024-12-29,0,32.5,93.2
2024-12-30,1.4,31.9,93.1
2024-12-31,0,32.1,91.2
